meta_threshold,profit_target,stop_loss,monthly_return,sharpe_ratio,win_rate,num_trades,max_drawdown,final_equity
0.0001,0.02,0.01,54.987017932993574,2.654995298269359,0.5747126436781609,87,-0.05575908618051147,15061.494387944542
0.0001,0.03,0.015,54.98200661596987,2.7437956780138815,0.6049382716049383,81,-0.08502234579642835,15061.357209802094
0.0001,0.04,0.02,66.5771701454502,2.880564601897997,0.6075949367088608,79,-0.0783893935243712,15352.614191720284
0.0001,0.03,0.01,59.157359623482364,2.7125754187781905,0.5882352941176471,85,-0.05575908618051147,15171.99926581946
0.0001,0.04,0.015,63.71905254186507,2.8203251160204035,0.5925925925925926,81,-0.08502234579642835,15285.255607740703
0.0001,0.05,0.02,78.31207827319298,3.004207178580914,0.6153846153846154,78,-0.0783893935243712,15604.791492556678
0.001,0.02,0.01,64.16194426797064,3.498687807166576,0.6666666666666666,57,-0.05171791138801787,15295.866255205012
0.001,0.03,0.015,43.12732528028087,3.263496604350812,0.6851851851851852,54,-0.06626757803151564,14701.077465821572
